Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,null,null,null,null,null,null
2012-11-01,37.570000,38.500000,34.040001,34.570000,33.743401,748903500
2012-12-01,34.959999,40.180000,34.070000,39.560001,38.624413,764120200
2013-01-01,40.910000,43.340000,40.700001,42.160000,41.162933,770342700
2013-02-01,42.480000,44.709999,40.279999,41.970001,40.987194,537126400
2013-03-01,41.560001,47.919998,41.020000,44.240002,43.204029,706105900
2013-04-01,44.320000,47.680000,41.599998,46.660000,45.567368,627585000
2013-05-01,46.480000,53.560001,45.490002,51.990002,50.772545,626878700
2013-06-01,52.060001,52.619999,45.060001,47.970001,46.856911,728729300
2013-07-01,48.500000,53.299999,46.700001,52.139999,50.930145,570461800
2013-08-01,52.840000,53.200001,47.639999,48.330002,47.208553,470388900
2013-09-01,49.369999,52.880001,47.830002,48.509998,47.393471,469357000
2013-10-01,48.849998,51.570000,47.599998,48.779999,47.657253,548937600
2013-11-01,48.869999,53.680000,48.230000,52.919998,51.712330,427626200
2013-12-01,52.959999,53.410000,50.270000,52.110001,50.920818,402157100
2014-01-01,52.029999,55.279999,47.290001,47.430000,46.347622,674576100
2014-02-01,47.840000,50.150002,46.189999,48.630001,47.530113,506390800
2014-03-01,47.799999,51.000000,46.790001,47.599998,46.523403,663022400
2014-04-01,47.720001,48.619999,45.180000,47.910000,46.826393,525271500
2014-05-01,47.810001,48.349998,46.080002,47.570000,46.494091,316654200
2014-06-01,47.599998,49.590000,46.919998,47.099998,46.044331,342891400
2014-07-01,47.419998,50.590000,46.549999,48.910000,47.813766,386137000
2014-08-01,48.590000,52.389999,47.650002,51.650002,50.502453,290310100
2014-09-01,51.779999,54.130001,51.119999,51.820000,50.668671,340562900
2014-10-01,51.680000,53.900002,48.110001,53.529999,52.340675,503346100
2014-11-01,53.419998,54.520000,52.630001,53.970001,52.780933,224588800
2014-12-01,53.799999,56.950001,51.110001,54.110001,52.917839,394695100
2015-01-01,54.360001,54.689999,46.599998,46.950001,45.915604,498106700
2015-02-01,47.200001,52.869999,46.900002,52.419998,51.275963,342327400
2015-03-01,52.419998,54.720001,50.470001,51.520000,50.395603,461254600
2015-04-01,51.369999,54.459999,50.980000,53.320000,52.156322,348709400
2015-05-01,53.639999,55.369999,52.349998,54.080002,52.899738,294649500
2015-06-01,54.680000,57.639999,54.130001,55.240002,54.085617,386034800
2015-07-01,56.009998,60.950001,52.770000,58.459999,57.238327,453308300
2015-08-01,58.619999,59.250000,47.099998,53.480000,52.406868,402819000
2015-09-01,52.400002,53.000000,48.470001,49.610001,48.614529,407086900
2015-10-01,49.419998,55.060001,47.709999,53.169998,52.103092,389632000
2015-11-01,53.450001,56.459999,52.490002,54.090000,53.053097,298931100
2015-12-01,54.400002,55.330002,50.500000,51.750000,50.757957,359001500
2016-01-01,50.750000,51.610001,39.439999,42.580002,41.763744,592019600
2016-02-01,42.360001,42.830002,34.520000,38.849998,38.152279,590981900
2016-03-01,39.150002,44.259998,39.099998,41.750000,41.000195,464471200
2016-04-01,41.520000,47.840000,39.950001,46.279999,45.448837,436400500
2016-05-01,46.540001,47.599998,42.810001,46.570000,45.781998,398070000
2016-06-01,46.040001,47.060001,38.310001,42.389999,41.672726,578511900
2016-07-01,42.299999,45.029999,40.029999,43.810001,43.068703,410614200
2016-08-01,43.919998,48.180000,42.500000,47.740002,47.102360,369740000
2016-09-01,47.820000,48.169998,45.160000,47.230000,46.599174,385863700
2016-10-01,47.020000,50.599998,46.779999,49.150002,48.493530,347224200
2016-11-01,49.400002,56.830002,47.700001,56.389999,55.636833,544496100
2016-12-01,56.770000,61.299999,55.930000,59.430000,58.830147,448406800
2017-01-01,60.680000,61.630001,55.419998,55.830002,55.266483,417529600
2017-02-01,56.720001,60.950001,55.230000,59.810001,59.206306,333071800
2017-03-01,61.200001,62.529999,56.549999,59.820000,59.385731,434014700
2017-04-01,59.930000,61.020000,57.549999,59.119999,58.690811,317086900
2017-05-01,59.389999,62.689999,58.930000,60.540001,60.260933,343074500
2017-06-01,60.889999,67.750000,60.169998,66.879997,66.571701,402049400
2017-07-01,67.239998,68.910004,65.519997,68.449997,68.134468,352774800
2017-08-01,69.089996,69.860001,65.860001,68.029999,67.716408,345341600
2017-09-01,68.110001,72.970001,65.690002,72.739998,72.739998,299867700
2017-10-01,73.070000,76.019997,72.910004,75.639999,75.639999,74007800
2017-10-06,75.809998,76.019997,75.099998,75.639999,75.639999,16119873
