Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,null,null,null,null,null,null
2012-10-08,34.230000,36.160000,34.230000,34.750000,33.919109,165814200
2012-10-15,35.400002,38.720001,35.200001,37.160000,36.271473,376680400
2012-10-22,37.209999,37.840000,36.480000,36.599998,35.724865,187336100
2012-10-29,36.980000,38.160000,36.740002,37.599998,36.700951,94894700
2012-11-05,37.299999,38.500000,35.400002,35.930000,35.080265,211896600
2012-11-12,36.119999,36.770000,34.169998,34.980000,34.152733,192757000
2012-11-19,35.730000,36.419998,35.580002,36.029999,35.177906,104740100
2012-11-26,35.830002,35.840000,34.040001,34.570000,33.752434,178808800
2012-12-03,34.959999,37.750000,34.070000,37.639999,36.749817,243045900
2012-12-10,37.349998,37.820000,36.830002,37.599998,36.710770,153759000
2012-12-17,37.770000,40.180000,37.759998,39.490002,38.556061,246273900
2012-12-24,39.340000,39.880001,38.590000,39.009998,38.087414,83868600
2012-12-31,38.939999,42.540001,38.650002,42.430000,41.426548,167474700
2013-01-07,42.540001,43.250000,41.810001,42.340000,41.338673,194085300
2013-01-14,42.360001,42.849998,40.900002,41.660000,40.674755,213072100
2013-01-21,41.349998,43.340000,40.820000,42.910000,41.895187,135545000
2013-01-28,42.980000,43.200001,41.619999,43.020000,42.002586,132335800
2013-02-04,42.369999,43.490002,42.169998,42.680000,41.680569,118798200
2013-02-11,42.660000,44.680000,42.490002,43.840000,42.813400,132506800
2013-02-18,43.990002,44.709999,41.889999,42.790001,41.787994,111532500
2013-02-25,43.119999,43.369999,40.279999,42.110001,41.123920,169141800
2013-03-04,41.990002,46.700001,41.970001,46.680000,45.586891,210400500
2013-03-11,46.810001,47.919998,46.330002,47.259998,46.153313,189424500
2013-03-18,46.040001,46.950001,44.950001,45.230000,44.170849,167040900
2013-03-25,45.759998,45.820000,44.049999,44.240002,43.204029,109389700
2013-04-01,44.320000,44.709999,41.599998,43.009998,42.002834,163825900
2013-04-08,43.060001,45.549999,42.540001,44.779999,43.731400,131732400
2013-04-15,46.099998,46.779999,44.830002,45.029999,43.975536,186776100
2013-04-22,45.160000,47.680000,44.520000,46.919998,45.821278,112940900
2013-04-29,47.189999,47.500000,45.490002,46.970001,45.870110,94596500
2013-05-06,46.919998,49.459999,46.889999,48.750000,47.618809,136409300
2013-05-13,48.500000,51.500000,48.400002,51.450001,50.256157,142820000
2013-05-20,51.459999,52.889999,49.180000,50.520000,49.347740,162218400
2013-05-27,51.310001,53.560001,51.080002,51.990002,50.783630,123144200
2013-06-03,52.060001,52.619999,49.630001,51.599998,50.402664,167427100
