Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,null,null,null,null,null,null
2012-10-08,27.603720,27.982832,26.552217,26.623749,25.366915,20166800
2012-10-15,26.695278,27.360516,25.493563,25.572247,24.365049,27000700
2012-10-22,25.507868,25.965666,25.307583,25.708155,24.494539,23550600
2012-10-29,25.751074,26.731045,25.650930,26.466381,25.216970,13924300
2012-11-05,26.466381,27.525036,26.151646,26.402002,25.155632,23269600
2012-11-12,26.509298,26.573677,25.357655,25.615164,24.405935,28816500
2012-11-19,26.473534,27.167381,25.493563,26.380543,25.135187,30605000
2012-11-26,26.244635,27.596567,26.173105,27.389128,26.096163,23135700
2012-12-03,27.610872,27.861231,26.959942,27.045780,25.769018,21984000
2012-12-10,27.038626,29.213161,26.974249,28.505007,27.159363,27676000
2012-12-17,28.597998,29.856939,28.369099,29.363377,27.977211,29878100
2012-12-24,29.248926,29.492132,28.469242,28.490702,27.145729,11212300
2012-12-31,28.390558,30.722460,28.354792,30.658083,29.282406,25682600
2013-01-07,30.472103,31.559370,30.114449,31.065809,29.671839,21989800
2013-01-14,31.065809,31.781116,30.636623,31.580830,30.163754,20991700
2013-01-21,31.444921,32.582260,31.366238,32.396282,30.942614,15683500
2013-01-28,32.324749,32.660946,31.595137,32.396282,30.942614,20237700
2013-02-04,32.045780,32.439198,31.387697,32.246067,30.799133,18670100
2013-02-11,32.310444,32.360516,30.193132,30.221745,28.865650,36129600
2013-02-18,30.193132,30.844063,29.663805,29.899857,28.558205,20629100
2013-02-25,30.107296,30.200287,28.748211,29.992847,28.647020,27849500
2013-03-04,29.864092,31.130186,29.699572,30.779686,29.398554,20119300
2013-03-11,30.751074,31.030043,29.849785,30.765379,29.384886,23627300
2013-03-18,30.371960,30.629471,29.263233,29.506437,28.182440,29624800
2013-03-25,29.678112,30.178827,29.177397,30.021460,28.674351,15136400
2013-04-01,29.921316,30.028612,28.841202,29.713877,28.461720,26634300
2013-04-08,29.642345,32.038628,29.449213,32.010014,30.661095,25070800
2013-04-15,31.831188,31.859800,29.670958,30.042919,28.776894,33270500
2013-04-22,30.064377,30.937054,29.105865,29.542204,28.297281,22766000
2013-04-29,29.785408,30.436338,29.291845,29.721029,28.468567,23620900
2013-05-06,29.642345,31.366238,29.606581,31.208870,29.893711,22764900
2013-05-13,31.065809,33.254650,30.557940,32.589413,31.216068,40217500
2013-05-20,32.532188,33.955650,32.331902,32.610874,31.236628,29558300
2013-05-27,32.968525,33.655220,32.474964,32.510731,31.140711,22527700
2013-06-03,32.653790,33.226036,31.623749,32.296139,30.935158,22522400
2013-06-10,32.439198,32.439198,31.230330,31.473534,30.147221,19080100
2013-06-17,31.745350,32.103004,29.935623,30.743919,29.448353,28363500
2013-06-24,30.357655,30.979971,30.050072,30.586552,29.297617,25865800
2013-07-01,30.793991,31.680973,30.557940,31.638054,30.389463,15809100
2013-07-08,31.745350,32.889843,31.559370,32.725323,31.433819,18780600
2013-07-15,32.689556,33.240345,32.582260,33.047211,31.743006,12347900
2013-07-22,33.068668,33.547924,32.496422,32.618027,31.330759,16371900
2013-07-29,32.610874,33.268955,31.945637,33.175964,31.866676,17751700
2013-08-05,33.090130,33.297569,32.625179,33.061516,31.756744,13307600
2013-08-12,32.825466,34.456367,32.703861,33.469242,32.148376,21872800
2013-08-19,33.354794,34.570816,33.025749,34.105865,32.759888,15126100
2013-08-26,34.077251,34.477825,33.168812,33.361946,32.045322,12574900
2013-09-02,33.648067,34.399143,33.347641,33.927040,32.588120,9413500
2013-09-09,34.041489,35.064377,33.826897,34.663807,33.295799,12418400
2013-09-16,35.092991,38.247498,34.542202,37.303291,35.831120,47980200
2013-09-23,37.131618,37.367668,36.623749,36.931332,35.473839,17581400
2013-09-30,36.494991,37.253220,36.266094,37.038628,35.659054,15956900
2013-10-07,36.723892,36.959942,35.329041,36.809727,35.438683,14187300
2013-10-14,36.623749,38.082977,36.130184,37.904148,36.492336,18159300
2013-10-21,37.939915,38.011444,35.979973,37.103004,35.721031,18690600
2013-10-28,37.045780,37.181686,36.087269,36.552216,35.190758,11406400
2013-11-04,36.759655,36.809727,35.650928,36.323318,34.970394,13736700
2013-11-11,36.216022,39.871246,36.022888,39.291847,37.828350,28380500
2013-11-18,38.948498,39.327610,38.247498,38.519314,37.084595,18529400
2013-11-25,38.705292,38.719601,37.925610,38.319027,36.891766,9795200
2013-12-02,38.247498,39.291847,37.596565,39.220314,37.759476,15679200
2013-12-09,39.198856,39.985695,38.841202,39.456367,37.986744,16114300
2013-12-16,39.520744,41.444920,39.391987,40.743919,39.226326,19399700
2013-12-23,41.094421,41.280399,40.858368,40.894135,39.370953,5208400
2013-12-30,40.808296,41.165951,40.164520,40.715309,39.289051,8181300
2014-01-06,41.058655,42.210300,40.457798,42.153076,40.676445,12974300
2014-01-13,42.038628,43.512161,41.917023,43.426323,41.905094,15908500
2014-01-20,43.412018,43.791130,41.280399,41.394852,39.944782,16073600
2014-01-27,41.416309,42.997139,40.758224,41.595135,40.138054,23133400
2014-02-03,41.595135,42.539341,40.114449,42.503578,41.014671,16358200
2014-02-10,42.396282,43.247498,39.248928,39.520744,38.136333,37998000
2014-02-17,39.613735,41.158798,39.270386,40.300430,38.888695,25762700
2014-02-24,40.379112,41.216022,40.193134,40.722462,39.295940,19784800
2014-03-03,40.143063,42.432045,39.907009,41.788269,40.324417,23583600
2014-03-10,41.695278,41.731045,39.506439,39.656651,38.267483,16358300
2014-03-17,39.828327,41.330471,39.685265,40.121601,38.716145,12732600
2014-03-24,40.114449,40.221745,38.783978,39.120171,37.749775,15727800
2014-03-31,39.320457,40.944206,39.034336,39.749641,38.357208,14135800
2014-04-07,39.742489,39.814018,37.660946,37.746780,36.424507,15381900
2014-04-14,38.047211,39.263233,37.167381,39.091560,37.813492,11629200
2014-04-21,39.062946,39.771103,38.676682,38.905579,37.633595,9705300
2014-04-28,39.234619,39.334763,37.174534,39.012875,37.737377,16209100
2014-05-05,38.848354,40.157368,38.547924,39.620888,38.325516,14018500
2014-05-12,39.756794,40.758224,38.447784,39.363377,38.076420,19913500
2014-05-19,39.270386,40.214592,38.776825,40.185982,38.872135,15211700
2014-05-26,40.278969,41.044350,40.078682,40.729614,39.397991,9923000
2014-06-02,40.743919,42.403435,40.271816,42.210300,40.830269,10315400
2014-06-09,42.203148,42.618027,41.616596,41.845493,40.477394,9226700
2014-06-16,41.895565,42.589413,41.373390,42.038628,40.664211,12297400
2014-06-23,41.995708,42.103004,40.901287,41.130184,39.785469,8727800
2014-06-30,41.130184,41.909870,40.901287,41.816883,40.542271,7466300
2014-07-07,41.630901,41.666668,40.064377,40.486408,39.252350,8690000
2014-07-14,40.715309,40.844063,39.442059,40.164520,38.940281,16162200
2014-07-21,39.957081,41.709583,39.907009,40.436337,39.203804,14124000
2014-07-28,40.407726,40.636623,39.749641,40.107296,38.884789,12853100
2014-08-04,40.193134,40.343349,39.241776,39.513592,38.309185,10699700
2014-08-11,39.656651,42.246067,38.762516,41.187412,39.931984,20513100
2014-08-18,41.309013,42.024319,41.022888,41.230328,39.973595,11839800
2014-08-25,41.402004,41.595135,40.758224,40.886982,39.640709,8976000
2014-09-01,40.937054,41.838341,40.937054,41.430614,40.167774,7257600
2014-09-08,41.287552,41.938484,40.901287,41.917023,40.639359,10758900
2014-09-15,41.845493,42.489269,41.037197,41.666668,40.396633,15030700
2014-09-22,41.580830,41.623749,40.107296,40.414879,39.183002,12326400
2014-09-29,40.085838,41.058655,39.549355,40.708153,39.559120,13300100
2014-10-06,40.815449,40.886982,38.211731,38.369099,37.286091,17413900
2014-10-13,38.433475,38.791130,35.622318,37.389126,36.333771,28514800
2014-10-20,37.246067,38.776825,36.380543,38.662376,37.571095,17611800
2014-10-27,38.583691,39.635193,38.340485,39.542202,38.426079,11816500
2014-11-03,39.900002,41.480000,39.490002,40.930000,39.774708,18093400
2014-11-10,40.980000,42.110001,40.880001,41.570000,40.396641,10388800
2014-11-17,41.570000,42.380001,40.049999,42.250000,41.057453,20210700
2014-11-24,42.439999,42.990002,41.990002,42.740002,41.533619,7680800
2014-12-01,42.689999,42.730000,41.549999,42.299999,41.106033,11040400
2014-12-08,42.230000,42.509998,39.709999,39.720001,38.598858,9848200
2014-12-15,40.070000,41.430000,38.090000,41.380001,40.212006,18693100
2014-12-22,41.380001,42.009998,40.959999,41.380001,40.212006,5468000
2014-12-29,41.360001,41.790001,40.369999,40.560001,39.415150,5249700
2015-01-05,40.320000,41.000000,39.020000,40.590000,39.540882,11242300
2015-01-12,40.610001,40.720001,37.759998,38.250000,37.261368,15550800
2015-01-19,38.430000,39.860001,37.680000,38.810001,37.806896,14113200
2015-01-26,38.790001,39.250000,37.689999,37.770000,36.793777,10632200
2015-02-02,37.900002,39.820000,37.709999,39.340000,38.323189,12529700
2015-02-09,39.230000,40.310001,38.779999,40.150002,39.112263,11861100
2015-02-16,40.009998,42.200001,39.759998,41.950001,40.865734,18579100
2015-02-23,41.889999,42.490002,41.490002,42.209999,41.119011,9415200
2015-03-02,42.340000,42.740002,41.490002,41.529999,40.456589,7693600
2015-03-09,41.540001,41.889999,40.520000,40.869999,39.813648,12942600
2015-03-16,41.160000,42.529999,41.060001,42.209999,41.119011,8727800
2015-03-23,42.119999,42.439999,40.369999,41.110001,40.047451,11414400
2015-03-30,41.520000,42.130001,40.720001,42.049999,41.064045,8026300
2015-04-06,41.680000,43.560001,41.509998,43.549999,42.528873,12597900
2015-04-13,43.590000,43.590000,42.580002,42.980000,41.972240,10334600
2015-04-20,43.330002,43.500000,42.240002,42.490002,41.493732,12027000
2015-04-27,42.740002,42.770000,41.110001,41.830002,40.849205,9868800
2015-05-04,41.880001,42.529999,41.310001,42.500000,41.503490,5296700
2015-05-11,42.389999,42.830002,41.500000,42.040001,41.054276,10617200
2015-05-18,42.049999,42.840000,41.500000,42.500000,41.503490,13468400
2015-05-25,42.480000,42.930000,40.820000,41.189999,40.224209,12789400
2015-06-01,41.430000,41.430000,40.009998,40.310001,39.364849,13961800
2015-06-08,40.259998,40.599998,39.740002,39.840000,38.905865,8927900
2015-06-15,39.630001,40.060001,39.250000,39.490002,38.564075,9827700
2015-06-22,39.810001,40.520000,39.029999,40.020000,39.081642,20706900
2015-06-29,39.599998,39.799999,38.480000,39.580002,38.748714,12201000
2015-07-06,39.110001,39.790001,38.709999,39.400002,38.572491,13173200
2015-07-13,39.720001,40.660000,39.540001,39.950001,39.110939,10867000
